# x, y, theta, v_l, v_r
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.00, 1.571, 0.00, 0.00
50.00, 250.06, 1.688, 0.00, 11.73
49.99, 250.11, 1.805, 0.00, 11.73
49.97, 250.17, 1.923, 0.00, 11.73
49.95, 250.22, 2.040, 0.00, 11.73
49.92, 250.27, 2.157, 0.00, 11.73
49.88, 250.31, 2.275, 0.00, 11.73
49.84, 250.35, 2.392, 0.00, 11.73
49.80, 250.38, 2.509, 0.00, 11.73
49.75, 250.41, 2.627, 0.00, 11.73
49.69, 250.43, 2.744, 0.00, 11.73
49.64, 250.44, 2.861, 0.00, 11.73
49.58, 250.44, 2.978, 0.00, 11.73
49.52, 250.44, 3.096, 0.00, 11.73
49.46, 250.44, -3.070, 0.00, 11.73
49.46, 250.44, -3.070, 0.00, 0.00
49.46, 250.44, -3.070, 0.00, 0.00
49.41, 250.42, -2.953, 0.00, 11.73
49.35, 250.40, -2.836, 0.00, 11.73
49.24, 250.37, -2.836, 11.73, 11.73
49.13, 250.33, -2.836, 11.73, 11.73
49.01, 250.29, -2.836, 11.73, 11.73
48.90, 250.26, -2.836, 11.73, 11.73
48.79, 250.22, -2.836, 11.73, 11.73
48.68, 250.19, -2.836, 11.73, 11.73
48.57, 250.15, -2.836, 11.73, 11.73
48.45, 250.12, -2.836, 11.73, 11.73
48.34, 250.08, -2.836, 11.73, 11.73
48.23, 250.05, -2.836, 11.73, 11.73
48.12, 250.01, -2.836, 11.73, 11.73
48.01, 249.98, -2.836, 11.73, 11.73
47.90, 249.94, -2.836, 11.73, 11.73
47.78, 249.91, -2.836, 11.73, 11.73
47.67, 249.87, -2.836, 11.73, 11.73
47.56, 249.84, -2.836, 11.73, 11.73
47.45, 249.80, -2.836, 11.73, 11.73
47.34, 249.76, -2.836, 11.73, 11.73
47.22, 249.73, -2.836, 11.73, 11.73
47.11, 249.69, -2.836, 11.73, 11.73
47.00, 249.66, -2.836, 11.73, 11.73
46.89, 249.62, -2.836, 11.73, 11.73
46.78, 249.59, -2.836, 11.73, 11.73
46.66, 249.55, -2.836, 11.73, 11.73
46.55, 249.52, -2.836, 11.73, 11.73
46.44, 249.48, -2.836, 11.73, 11.73
46.33, 249.45, -2.836, 11.73, 11.73
46.22, 249.41, -2.836, 11.73, 11.73
46.11, 249.38, -2.836, 11.73, 11.73
45.99, 249.34, -2.836, 11.73, 11.73
45.88, 249.31, -2.836, 11.73, 11.73
45.77, 249.27, -2.836, 11.73, 11.73
45.66, 249.23, -2.836, 11.73, 11.73
45.55, 249.20, -2.836, 11.73, 11.73
45.43, 249.16, -2.836, 11.73, 11.73
45.32, 249.13, -2.836, 11.73, 11.73
45.21, 249.09, -2.836, 11.73, 11.73
45.10, 249.06, -2.836, 11.73, 11.73
44.99, 249.02, -2.836, 11.73, 11.73
44.88, 248.99, -2.836, 11.73, 11.73
44.76, 248.95, -2.836, 11.73, 11.73
44.65, 248.92, -2.836, 11.73, 11.73
44.54, 248.88, -2.836, 11.73, 11.73
44.43, 248.85, -2.836, 11.73, 11.73
44.32, 248.81, -2.836, 11.73, 11.73
44.20, 248.77, -2.836, 11.73, 11.73
44.09, 248.74, -2.836, 11.73, 11.73
43.98, 248.70, -2.836, 11.73, 11.73
43.87, 248.67, -2.836, 11.73, 11.73
43.76, 248.63, -2.836, 11.73, 11.73
43.64, 248.60, -2.836, 11.73, 11.73
43.53, 248.56, -2.836, 11.73, 11.73
43.42, 248.53, -2.836, 11.73, 11.73
43.31, 248.49, -2.836, 11.73, 11.73
43.20, 248.46, -2.836, 11.73, 11.73
43.09, 248.42, -2.836, 11.73, 11.73
42.97, 248.39, -2.836, 11.73, 11.73
42.86, 248.35, -2.836, 11.73, 11.73
42.75, 248.32, -2.836, 11.73, 11.73
42.64, 248.28, -2.836, 11.73, 11.73
42.53, 248.24, -2.836, 11.73, 11.73
42.41, 248.21, -2.836, 11.73, 11.73
42.30, 248.17, -2.836, 11.73, 11.73
42.19, 248.14, -2.836, 11.73, 11.73
42.08, 248.10, -2.836, 11.73, 11.73
41.97, 248.07, -2.836, 11.73, 11.73
41.86, 248.03, -2.836, 11.73, 11.73
41.74, 248.00, -2.836, 11.73, 11.73
41.63, 247.96, -2.836, 11.73, 11.73
41.52, 247.93, -2.836, 11.73, 11.73
41.41, 247.89, -2.836, 11.73, 11.73
41.30, 247.86, -2.836, 11.73, 11.73
41.18, 247.82, -2.836, 11.73, 11.73
41.07, 247.79, -2.836, 11.73, 11.73
40.96, 247.75, -2.836, 11.73, 11.73
40.85, 247.71, -2.836, 11.73, 11.73
40.74, 247.68, -2.836, 11.73, 11.73
40.62, 247.64, -2.836, 11.73, 11.73
40.51, 247.61, -2.836, 11.73, 11.73
40.40, 247.57, -2.836, 11.73, 11.73
40.29, 247.54, -2.836, 11.73, 11.73
40.18, 247.50, -2.836, 11.73, 11.73
40.07, 247.47, -2.836, 11.73, 11.73
39.95, 247.43, -2.836, 11.73, 11.73
39.84, 247.40, -2.836, 11.73, 11.73
39.73, 247.36, -2.836, 11.73, 11.73
39.62, 247.33, -2.836, 11.73, 11.73
39.51, 247.29, -2.836, 11.73, 11.73
39.39, 247.26, -2.836, 11.73, 11.73
39.28, 247.22, -2.836, 11.73, 11.73
39.17, 247.18, -2.836, 11.73, 11.73
39.06, 247.15, -2.836, 11.73, 11.73
38.95, 247.11, -2.836, 11.73, 11.73
38.84, 247.08, -2.836, 11.73, 11.73
38.72, 247.04, -2.836, 11.73, 11.73
38.61, 247.01, -2.836, 11.73, 11.73
38.50, 246.97, -2.836, 11.73, 11.73
38.39, 246.94, -2.836, 11.73, 11.73
38.28, 246.90, -2.836, 11.73, 11.73
38.16, 246.87, -2.836, 11.73, 11.73
38.05, 246.83, -2.836, 11.73, 11.73
37.94, 246.80, -2.836, 11.73, 11.73
37.83, 246.76, -2.836, 11.73, 11.73
37.72, 246.73, -2.836, 11.73, 11.73
37.60, 246.69, -2.836, 11.73, 11.73
37.49, 246.65, -2.836, 11.73, 11.73
37.38, 246.62, -2.836, 11.73, 11.73
37.27, 246.58, -2.836, 11.73, 11.73
37.16, 246.55, -2.836, 11.73, 11.73
37.05, 246.51, -2.836, 11.73, 11.73
36.93, 246.48, -2.836, 11.73, 11.73
36.82, 246.44, -2.836, 11.73, 11.73
36.71, 246.41, -2.836, 11.73, 11.73
36.60, 246.37, -2.836, 11.73, 11.73
36.49, 246.34, -2.836, 11.73, 11.73
36.37, 246.30, -2.836, 11.73, 11.73
36.26, 246.27, -2.836, 11.73, 11.73
36.15, 246.23, -2.836, 11.73, 11.73
36.04, 246.20, -2.836, 11.73, 11.73
35.93, 246.16, -2.836, 11.73, 11.73
35.82, 246.12, -2.836, 11.73, 11.73
35.70, 246.09, -2.836, 11.73, 11.73
35.59, 246.05, -2.836, 11.73, 11.73
35.48, 246.02, -2.836, 11.73, 11.73
35.37, 245.98, -2.836, 11.73, 11.73
35.26, 245.95, -2.836, 11.73, 11.73
35.14, 245.91, -2.836, 11.73, 11.73
35.03, 245.88, -2.836, 11.73, 11.73
34.92, 245.84, -2.836, 11.73, 11.73
34.81, 245.81, -2.836, 11.73, 11.73
34.70, 245.77, -2.836, 11.73, 11.73
34.58, 245.74, -2.836, 11.73, 11.73
34.47, 245.70, -2.836, 11.73, 11.73
34.36, 245.66, -2.836, 11.73, 11.73
34.25, 245.63, -2.836, 11.73, 11.73
34.14, 245.59, -2.836, 11.73, 11.73
34.03, 245.56, -2.836, 11.73, 11.73
33.91, 245.52, -2.836, 11.73, 11.73
33.80, 245.49, -2.836, 11.73, 11.73
33.69, 245.45, -2.836, 11.73, 11.73
33.58, 245.42, -2.836, 11.73, 11.73
33.47, 245.38, -2.836, 11.73, 11.73
33.35, 245.35, -2.836, 11.73, 11.73
33.24, 245.31, -2.836, 11.73, 11.73
33.13, 245.28, -2.836, 11.73, 11.73
33.02, 245.24, -2.836, 11.73, 11.73
32.91, 245.21, -2.836, 11.73, 11.73
32.80, 245.17, -2.836, 11.73, 11.73
32.68, 245.13, -2.836, 11.73, 11.73
32.57, 245.10, -2.836, 11.73, 11.73
32.46, 245.06, -2.836, 11.73, 11.73
32.35, 245.03, -2.836, 11.73, 11.73
32.24, 244.99, -2.836, 11.73, 11.73
32.12, 244.96, -2.836, 11.73, 11.73
32.01, 244.92, -2.836, 11.73, 11.73
31.90, 244.89, -2.836, 11.73, 11.73
31.79, 244.85, -2.836, 11.73, 11.73
31.68, 244.82, -2.836, 11.73, 11.73
31.56, 244.78, -2.836, 11.73, 11.73
31.45, 244.75, -2.836, 11.73, 11.73
31.34, 244.71, -2.836, 11.73, 11.73
31.23, 244.68, -2.836, 11.73, 11.73
31.12, 244.64, -2.836, 11.73, 11.73
31.01, 244.60, -2.836, 11.73, 11.73
30.89, 244.57, -2.836, 11.73, 11.73
30.78, 244.53, -2.836, 11.73, 11.73
30.67, 244.50, -2.836, 11.73, 11.73
30.56, 244.46, -2.836, 11.73, 11.73
30.45, 244.43, -2.836, 11.73, 11.73
30.33, 244.39, -2.836, 11.73, 11.73
30.22, 244.36, -2.836, 11.73, 11.73
30.11, 244.32, -2.836, 11.73, 11.73
30.00, 244.29, -2.836, 11.73, 11.73
29.89, 244.25, -2.836, 11.73, 11.73
29.78, 244.22, -2.836, 11.73, 11.73
29.66, 244.18, -2.836, 11.73, 11.73
29.55, 244.15, -2.836, 11.73, 11.73
29.44, 244.11, -2.836, 11.73, 11.73
29.33, 244.07, -2.836, 11.73, 11.73
29.22, 244.04, -2.836, 11.73, 11.73
29.10, 244.00, -2.836, 11.73, 11.73
28.99, 243.97, -2.836, 11.73, 11.73
28.88, 243.93, -2.836, 11.73, 11.73
28.77, 243.90, -2.836, 11.73, 11.73
28.66, 243.86, -2.836, 11.73, 11.73
28.54, 243.83, -2.836, 11.73, 11.73
28.43, 243.79, -2.836, 11.73, 11.73
28.32, 243.76, -2.836, 11.73, 11.73
28.21, 243.72, -2.836, 11.73, 11.73
28.10, 243.69, -2.836, 11.73, 11.73
27.99, 243.65, -2.836, 11.73, 11.73
27.87, 243.62, -2.836, 11.73, 11.73
27.76, 243.58, -2.836, 11.73, 11.73
27.65, 243.54, -2.836, 11.73, 11.73
27.54, 243.51, -2.836, 11.73, 11.73
27.43, 243.47, -2.836, 11.73, 11.73
27.31, 243.44, -2.836, 11.73, 11.73
27.20, 243.40, -2.836, 11.73, 11.73
27.09, 243.37, -2.836, 11.73, 11.73
26.98, 243.33, -2.836, 11.73, 11.73
26.87, 243.30, -2.836, 11.73, 11.73
26.76, 243.26, -2.836, 11.73, 11.73
26.64, 243.23, -2.836, 11.73, 11.73
26.53, 243.19, -2.836, 11.73, 11.73
26.42, 243.16, -2.836, 11.73, 11.73
26.31, 243.12, -2.836, 11.73, 11.73
26.20, 243.09, -2.836, 11.73, 11.73
26.08, 243.05, -2.836, 11.73, 11.73
25.97, 243.01, -2.836, 11.73, 11.73
25.86, 242.98, -2.836, 11.73, 11.73
25.75, 242.94, -2.836, 11.73, 11.73
25.64, 242.91, -2.836, 11.73, 11.73
25.52, 242.87, -2.836, 11.73, 11.73
25.41, 242.84, -2.836, 11.73, 11.73
25.30, 242.80, -2.836, 11.73, 11.73
25.19, 242.77, -2.836, 11.73, 11.73
25.08, 242.73, -2.836, 11.73, 11.73
24.97, 242.70, -2.836, 11.73, 11.73
24.85, 242.66, -2.836, 11.73, 11.73
24.74, 242.63, -2.836, 11.73, 11.73
24.63, 242.59, -2.836, 11.73, 11.73
24.52, 242.55, -2.836, 11.73, 11.73
24.41, 242.52, -2.836, 11.73, 11.73
24.29, 242.48, -2.836, 11.73, 11.73
24.18, 242.45, -2.836, 11.73, 11.73
24.07, 242.41, -2.836, 11.73, 11.73
23.96, 242.38, -2.836, 11.73, 11.73
23.85, 242.34, -2.836, 11.73, 11.73
23.74, 242.31, -2.836, 11.73, 11.73
23.62, 242.27, -2.836, 11.73, 11.73
23.51, 242.24, -2.836, 11.73, 11.73
23.40, 242.20, -2.836, 11.73, 11.73
23.29, 242.17, -2.836, 11.73, 11.73
23.18, 242.13, -2.836, 11.73, 11.73
23.06, 242.10, -2.836, 11.73, 11.73
22.95, 242.06, -2.836, 11.73, 11.73
22.84, 242.02, -2.836, 11.73, 11.73
22.73, 241.99, -2.836, 11.73, 11.73
22.62, 241.95, -2.836, 11.73, 11.73
22.50, 241.92, -2.836, 11.73, 11.73
22.39, 241.88, -2.836, 11.73, 11.73
22.28, 241.85, -2.836, 11.73, 11.73
22.17, 241.81, -2.836, 11.73, 11.73
22.06, 241.78, -2.836, 11.73, 11.73
21.95, 241.74, -2.836, 11.73, 11.73
21.83, 241.71, -2.836, 11.73, 11.73
21.72, 241.67, -2.836, 11.73, 11.73
21.61, 241.64, -2.836, 11.73, 11.73
21.50, 241.60, -2.836, 11.73, 11.73
21.39, 241.57, -2.836, 11.73, 11.73
21.27, 241.53, -2.836, 11.73, 11.73
21.16, 241.49, -2.836, 11.73, 11.73
21.05, 241.46, -2.836, 11.73, 11.73
20.94, 241.42, -2.836, 11.73, 11.73
20.83, 241.39, -2.836, 11.73, 11.73
20.72, 241.35, -2.836, 11.73, 11.73
20.60, 241.32, -2.836, 11.73, 11.73
20.49, 241.28, -2.836, 11.73, 11.73
20.38, 241.25, -2.836, 11.73, 11.73
20.27, 241.21, -2.836, 11.73, 11.73
20.16, 241.18, -2.836, 11.73, 11.73
20.04, 241.14, -2.836, 11.73, 11.73
19.93, 241.11, -2.836, 11.73, 11.73
19.82, 241.07, -2.836, 11.73, 11.73
19.71, 241.04, -2.836, 11.73, 11.73
19.60, 241.00, -2.836, 11.73, 11.73
19.48, 240.96, -2.836, 11.73, 11.73
19.37, 240.93, -2.836, 11.73, 11.73
19.26, 240.89, -2.836, 11.73, 11.73
19.15, 240.86, -2.836, 11.73, 11.73
19.04, 240.82, -2.836, 11.73, 11.73
18.93, 240.79, -2.836, 11.73, 11.73
18.81, 240.75, -2.836, 11.73, 11.73
18.70, 240.72, -2.836, 11.73, 11.73
18.59, 240.68, -2.836, 11.73, 11.73
18.48, 240.65, -2.836, 11.73, 11.73
18.37, 240.61, -2.836, 11.73, 11.73
18.25, 240.58, -2.836, 11.73, 11.73
18.14, 240.54, -2.836, 11.73, 11.73
18.03, 240.51, -2.836, 11.73, 11.73
17.92, 240.47, -2.836, 11.73, 11.73
17.81, 240.43, -2.836, 11.73, 11.73
17.70, 240.40, -2.836, 11.73, 11.73
17.58, 240.36, -2.836, 11.73, 11.73
17.47, 240.33, -2.836, 11.73, 11.73
17.36, 240.29, -2.836, 11.73, 11.73
17.25, 240.26, -2.836, 11.73, 11.73
17.14, 240.22, -2.836, 11.73, 11.73
17.02, 240.19, -2.836, 11.73, 11.73
16.91, 240.15, -2.836, 11.73, 11.73
16.80, 240.12, -2.836, 11.73, 11.73
16.69, 240.08, -2.836, 11.73, 11.73
16.58, 240.05, -2.836, 11.73, 11.73
16.46, 240.01, -2.836, 11.73, 11.73
16.35, 239.98, -2.836, 11.73, 11.73
16.24, 239.94, -2.836, 11.73, 11.73
16.13, 239.90, -2.836, 11.73, 11.73
16.02, 239.87, -2.836, 11.73, 11.73
15.91, 239.83, -2.836, 11.73, 11.73
15.79, 239.80, -2.836, 11.73, 11.73
15.68, 239.76, -2.836, 11.73, 11.73
15.57, 239.73, -2.836, 11.73, 11.73
15.46, 239.69, -2.836, 11.73, 11.73
15.35, 239.66, -2.836, 11.73, 11.73
15.23, 239.62, -2.836, 11.73, 11.73
15.12, 239.59, -2.836, 11.73, 11.73
15.01, 239.55, -2.836, 11.73, 11.73
14.90, 239.52, -2.836, 11.73, 11.73
14.79, 239.48, -2.836, 11.73, 11.73
14.68, 239.44, -2.836, 11.73, 11.73
14.56, 239.41, -2.836, 11.73, 11.73
14.45, 239.37, -2.836, 11.73, 11.73
14.34, 239.34, -2.836, 11.73, 11.73
14.23, 239.30, -2.836, 11.73, 11.73
14.12, 239.27, -2.836, 11.73, 11.73
14.00, 239.23, -2.836, 11.73, 11.73
13.89, 239.20, -2.836, 11.73, 11.73
13.78, 239.16, -2.836, 11.73, 11.73
13.67, 239.13, -2.836, 11.73, 11.73
13.56, 239.09, -2.836, 11.73, 11.73
13.44, 239.06, -2.836, 11.73, 11.73
13.33, 239.02, -2.836, 11.73, 11.73
13.22, 238.99, -2.836, 11.73, 11.73
13.11, 238.95, -2.836, 11.73, 11.73
13.00, 238.91, -2.836, 11.73, 11.73
12.89, 238.88, -2.836, 11.73, 11.73
12.77, 238.84, -2.836, 11.73, 11.73
12.66, 238.81, -2.836, 11.73, 11.73
12.55, 238.77, -2.836, 11.73, 11.73
12.44, 238.74, -2.836, 11.73, 11.73
12.33, 238.70, -2.836, 11.73, 11.73
12.21, 238.67, -2.836, 11.73, 11.73
12.10, 238.63, -2.836, 11.73, 11.73
11.99, 238.60, -2.836, 11.73, 11.73
11.88, 238.56, -2.836, 11.73, 11.73
11.77, 238.53, -2.836, 11.73, 11.73
11.66, 238.49, -2.836, 11.73, 11.73
11.54, 238.46, -2.836, 11.73, 11.73
11.43, 238.42, -2.836, 11.73, 11.73
11.32, 238.38, -2.836, 11.73, 11.73
11.21, 238.35, -2.836, 11.73, 11.73
11.10, 238.31, -2.836, 11.73, 11.73
10.98, 238.28, -2.836, 11.73, 11.73
10.87, 238.24, -2.836, 11.73, 11.73
10.76, 238.21, -2.836, 11.73, 11.73
10.65, 238.17, -2.836, 11.73, 11.73
