# x, y, theta, v_l, v_r
50.00, 250.12, 1.571, 0.23, 0.23
50.00, 250.23, 1.571, 0.23, 0.23
50.00, 250.35, 1.571, 0.23, 0.23
50.00, 250.47, 1.571, 0.23, 0.23
50.00, 250.59, 1.571, 0.23, 0.23
50.00, 250.70, 1.571, 0.23, 0.23
50.00, 250.82, 1.571, 0.23, 0.23
50.00, 250.94, 1.571, 0.23, 0.23
50.00, 251.06, 1.571, 0.23, 0.23
50.00, 251.17, 1.571, 0.23, 0.23
50.00, 251.29, 1.571, 0.23, 0.23
50.00, 251.41, 1.571, 0.23, 0.23
50.00, 251.52, 1.571, 0.23, 0.23
50.00, 251.64, 1.571, 0.23, 0.23
50.00, 251.76, 1.571, 0.23, 0.23
50.00, 251.88, 1.571, 0.23, 0.23
50.00, 251.99, 1.571, 0.23, 0.23
50.00, 252.11, 1.571, 0.23, 0.23
50.00, 252.23, 1.571, 0.23, 0.23
50.00, 252.35, 1.571, 0.23, 0.23
50.00, 252.46, 1.571, 0.23, 0.23
50.00, 252.58, 1.571, 0.23, 0.23
50.00, 252.70, 1.571, 0.23, 0.23
50.00, 252.82, 1.571, 0.23, 0.23
50.00, 252.93, 1.571, 0.23, 0.23
50.00, 253.05, 1.571, 0.23, 0.23
50.00, 253.17, 1.571, 0.23, 0.23
50.00, 253.28, 1.571, 0.23, 0.23
50.00, 253.40, 1.571, 0.23, 0.23
50.00, 253.52, 1.571, 0.23, 0.23
50.00, 253.64, 1.571, 0.23, 0.23
50.00, 253.75, 1.571, 0.23, 0.23
50.00, 253.87, 1.571, 0.23, 0.23
50.00, 253.99, 1.571, 0.23, 0.23
50.00, 254.11, 1.571, 0.23, 0.23
50.00, 254.22, 1.571, 0.23, 0.23
50.00, 254.34, 1.571, 0.23, 0.23
50.00, 254.46, 1.571, 0.23, 0.23
50.00, 254.57, 1.571, 0.23, 0.23
